fileName;_ID;use;hostgroups;host_name;address;alias;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399147-N.cfg;utm399147;utm-server;utms;R48-399147-N;R48-399147-N.main.russianpost.ru;ОПС 399147 10.98.97.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399204-N.cfg;utm399204;utm-server;utms;R48-399204-N;R48-399204-N.main.russianpost.ru;ОПС 399204 10.98.117.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399859POD01.cfg;utm399859l;utm-server;utms;ОПС Л.Толстой СКЛАД;R48-399859POD01.main.russianpost.ru;ОПС 399859 10.98.8.91;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399000-W01.cfg;utm399000;utm-server;utms;R48-399000-W01;R48-399000-W01.main.russianpost.ru;ОПС 399000;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399172-N.cfg;utm399172;utm-server;utms;R48-399172-N;R48-399172-N.main.russianpost.ru;ОПС 399172 10.98.117.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399267-N.cfg;utm399267;utm-server;utms;R48-399267-N;r48-399267-n.main.russianpost.ru;ОПС 399267 10.98.121.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399368-N.cfg;utm399368;utm-server;utms;R48-399368-N;R48-399368-N.main.russianpost.ru;ОПС 399368 10.98.101.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399713-N.cfg;utm399713;utm-server;utms;R48-399713-N;R48-399713-N.main.russianpost.ru;ОПС 399713 10.98.136.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399911-N.cfg;utm399911;utm-server;utms;R48-399911-N;R48-399911-N.main.russianpost.ru;ОПС 399911 10.98.143.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399171-N.cfg;utm399171;utm-server;utms;R48-399171-N;R48-399171-N.main.russianpost.ru;ОПС 399171 10.98.117.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399175-N.cfg;utm399175;utm-server;utms;R48-399175-N;R48-399175-N.main.russianpost.ru;ОПС 399175 10.98.117.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399573-N.cfg;utm399573;utm-server;utms;R48-399573-N;R48-399573-N.main.russianpost.ru;ОПС 399573 10.98.130.3;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399850-n.cfg;utm399850;utm-server;utms;R48-399850-n;10.98.8.158;ОПС 399850;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399221-N.cfg;utm399221;utm-server;utms;R48-399221-N;R48-399221-N.main.russianpost.ru;ОПС 399221 10.98.119.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399235-N.cfg;utm399235;utm-server;utms;R48-399235-N;R48-399235-N.main.russianpost.ru;ОПС 399235 10.98.98.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399281-N.cfg;utm399281;utm-server;utms;R48-399281-N;R48-399281-N.main.russianpost.ru;ОПС 399281;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399646-N.cfg;utm399646;utm-server;utms;R48-399646-N;R48-399646-N.main.russianpost.ru;ОПС 399646 10.98.133.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399748-N.cfg;utm399748;utm-server;utms;R48-399748-N;R48-399748-N.main.russianpost.ru;ОПС 399748 10.98.227.85;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399922-N.cfg;utm399922;utm-server;utms;R48-399922-N;R48-399922-N.main.russianpost.ru;ОПС 399922 10.98.230.133;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-398523-n.cfg;utm398523;utm-server;utms;r48-398523-n;r48-398523-n.main.russianpost.ru;ОПС 398523;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399040-N.cfg;utm399040;utm-server;utms;R48-399040-N;R48-399040-N.main.russianpost.ru;ОПС 399040 10.98.94.226;;;;;;;
